262220_at AT1G74740
265446_at AT2G37110
250797_at AT5G05310
251827_at AT3G55120
261161_at AT1G34420
264387_at AT1G11990
256206_at AT1G50910
254262_at AT4G23470
250913_at AT5G03770
263473_at AT2G31750
266699_at AT2G19730
259680_at AT1G77690
257566_x_at AT3G29610
258518_at AT3G06570
264503_at AT1G09410
245022_at ATCG00560
260367_at AT1G69760
248248_at AT5G53120
265785_at AT2G07290
250097_at AT5G17280
266815_at AT2G44900
251127_at AT5G01080
262679_at AT1G75830
247334_at AT5G63610
256545_at AT3G14800
264871_at AT1G24180
267058_at AT2G32510
263709_at AT1G09310
259916_at AT1G72600
265901_at AT2G25580
250213_at AT5G13820
253439_at AT4G32540
246420_at AT5G16870
249646_at AT5G37030
255631_at AT4G00710
258857_at AT3G02110
245361_at AT4G17790
248587_at AT5G49550
252525_at AT3G46450
265085_at AT1G03780
261736_at AT1G47810
248732_at AT5G48070
255363_x_at AT3G44500;AT2G06430;AT4G04010;AT2G04980;AT2G02210
257943_at AT3G21840
265929_s_at AT2G18560;AT2G18570
266115_at AT2G02140
251466_at AT3G59340
247673_at AT5G60230
254837_at AT4G12360
260822_at AT1G06790
267397_at AT1G76170
263009_at AT1G54370
259216_at AT3G09000
265201_at AT2G36810
250552_at AT5G07890
253778_at AT4G28480
249985_at AT5G18500
258157_at AT3G18100
264142_at AT1G78930
246879_at AT5G26110
267513_at AT2G45620
252864_at AT4G39740
261036_at AT1G17470
247909_at AT5G57370
257243_at AT3G24230
266454_at AT2G22750
256184_at AT1G51650
254137_at AT4G24930
260122_at AT1G33900
248003_at AT5G56220
263348_at AT2G05710
259555_at AT1G21290
265540_at AT2G15810
250891_at AT5G04530
249680_s_at AT3G61730;AT5G36000
253078_at AT4G36180
245936_at AT5G19850
249285_at AT5G41960
251921_at AT3G53890
255270_at AT4G05250
258496_at AT3G02460
264481_at AT1G77200
262434_at AT1G47670
256300_at AT1G69490
246179_at AT5G28440
252164_at AT3G50620
261375_at AT1G53160
257582_at AT1G50720
266793_at AT2G03060
247209_at AT5G64830
249401_at AT5G40260
258612_at AT3G02920
254476_at AT4G20410
260461_at AT1G10980
248342_at AT5G52230
263687_at AT1G26940
249198_s_at AT5G42350;AT5G42360
259894_at AT1G71430
255506_at AT4G02130
250191_at AT5G14270
264717_at AT1G70140
245236_at AT4G25540
251221_at AT3G62550
256788_at AT3G13730
262773_at AT1G13220
265999_at AT2G24100
248607_at AT5G49480
257818_at AT3G25120
267152_at AT2G31040
263803_at AT2G40440
247548_at AT5G61400
253533_at AT4G31590
266093_at AT2G37990
249740_at AT5G24500
258951_at AT3G01380
264335_s_at AT1G55860;AT1G70320
256904_at AT3G23980
250427_at AT5G10500
246634_at AT1G31730
259194_at AT3G01540
255845_at AT2G33600
261830_at AT1G10620
251682_s_at AT3G57110;AT5G60370
255908_s_at AT1G18010;AT1G18000
245575_at AT4G14760
251560_at AT3G57920
252739_at AT3G43250
255592_s_at AT4G01640;AT2G34280
262073_at AT1G59640
265299_at AT2G13940
248946_at AT5G45530
254931_at AT4G11460
257118_at AT3G20180
263103_at AT2G05290
