Var X sample ID,Var Y sample ID,Pearson's correlation
GTEX-132AR-1526-SM-5KM1L,GTEX-1313W-2826-SM-5P9G1,0.8552
GTEX-P4PP-2026-SM-3P61N,GTEX-YFC4-2826-SM-5P9FR,0.8553
GTEX-P4PP-2026-SM-3P61N,GTEX-WEY5-0726-SM-4LMID,0.8554
GTEX-RTLS-2426-SM-46MUO,GTEX-ZYWO-2126-SM-5GZXF,0.8555
GTEX-PWN1-2026-SM-48TD9,GTEX-RTLS-2426-SM-46MUO,0.8555
GTEX-13W3W-1426-SM-5LU56,GTEX-XYKS-1626-SM-4BRUQ,0.8555
GTEX-13W3W-1426-SM-5LU56,GTEX-PX3G-2026-SM-48U1H,0.8556
GTEX-RWS6-1326-SM-47JXB,GTEX-POMQ-1226-SM-3P61F,0.856
GTEX-11GSP-2426-SM-5N9BD,GTEX-P4PP-2026-SM-3P61N,0.8561
GTEX-Y114-1826-SM-4TT87,GTEX-ZAK1-2526-SM-5S2N7,0.8562
GTEX-RTLS-2426-SM-46MUO,GTEX-XUZC-0926-SM-4BOQF,0.8562
GTEX-N7MT-0726-SM-3TW8S,GTEX-QCQG-1326-SM-48U24,0.8562
GTEX-P4PP-2026-SM-3P61N,GTEX-S7SF-0826-SM-4AD4W,0.8564
GTEX-P4PP-2026-SM-3P61N,GTEX-11P81-1626-SM-5BC52,0.8566
GTEX-13OVI-1026-SM-5L3EM,GTEX-P4PP-2026-SM-3P61N,0.8567
GTEX-P4PP-2026-SM-3P61N,GTEX-T2IS-2226-SM-4DM65,0.8568
GTEX-131YS-2326-SM-5IJFJ,GTEX-13W3W-1426-SM-5LU56,0.8569
GTEX-13OVI-1026-SM-5L3EM,GTEX-T2IS-2226-SM-4DM65,0.8569
GTEX-YFC4-2826-SM-5P9FR,GTEX-13W3W-1426-SM-5LU56,0.857
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-13VXT-1626-SM-5IJES,0.8571
GTEX-132AR-1526-SM-5KM1L,GTEX-RU1J-1026-SM-46MUR,0.8572
GTEX-ZVT2-0426-SM-5E44S,GTEX-132AR-1526-SM-5KM1L,0.8573
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-WI4N-2426-SM-4OOSC,0.8574
GTEX-N7MT-0726-SM-3TW8S,GTEX-13W3W-1426-SM-5LU56,0.8575
GTEX-132AR-1526-SM-5KM1L,GTEX-13QBU-1626-SM-5LU4S,0.8576
GTEX-N7MT-0726-SM-3TW8S,GTEX-Y114-1826-SM-4TT87,0.8576
GTEX-TMMY-2226-SM-4DXTN,GTEX-132AR-1526-SM-5KM1L,0.8576
GTEX-1313W-2826-SM-5P9G1,GTEX-WI4N-2426-SM-4OOSC,0.8576
GTEX-11GSP-2426-SM-5N9BD,GTEX-QCQG-1326-SM-48U24,0.8577
GTEX-WWYW-2826-SM-4MVOQ,GTEX-ZP4G-0726-SM-4WWF2,0.8577
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-YFC4-2826-SM-5P9FR,0.8578
GTEX-RWS6-1326-SM-47JXB,GTEX-13OVJ-2326-SM-5IJGA,0.8579
GTEX-13W3W-1426-SM-5LU56,GTEX-S32W-1426-SM-4AD66,0.8581
GTEX-ZP4G-0726-SM-4WWF2,GTEX-N7MT-0726-SM-3TW8S,0.8582
GTEX-N7MT-0726-SM-3TW8S,GTEX-11I78-2126-SM-5A5K8,0.8582
GTEX-TSE9-2626-SM-4DXV2,GTEX-S341-1026-SM-4AD71,0.8582
GTEX-P4PP-2026-SM-3P61N,GTEX-113JC-2226-SM-5EGJG,0.8583
GTEX-RWS6-1326-SM-47JXB,GTEX-ZV6S-1526-SM-5NQ7O,0.8583
GTEX-ZYVF-0526-SM-5E43E,GTEX-132AR-1526-SM-5KM1L,0.8583
GTEX-ZAK1-2526-SM-5S2N7,GTEX-WI4N-2426-SM-4OOSC,0.8584
GTEX-11GSP-2426-SM-5N9BD,GTEX-131XG-2026-SM-5GCN5,0.8585
GTEX-132AR-1526-SM-5KM1L,GTEX-T6MO-1526-SM-4DM57,0.8585
GTEX-132AR-1526-SM-5KM1L,GTEX-ZLWG-1026-SM-4WWC4,0.8588
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-QCQG-1326-SM-48U24,0.8589
GTEX-132AR-1526-SM-5KM1L,GTEX-PX3G-2026-SM-48U1H,0.8589
GTEX-11ZTT-1726-SM-5EQL4,GTEX-132AR-1526-SM-5KM1L,0.859
GTEX-T2IS-2226-SM-4DM65,GTEX-WI4N-2426-SM-4OOSC,0.8591
GTEX-T5JW-1526-SM-4DM5E,GTEX-132AR-1526-SM-5KM1L,0.8591
GTEX-ZAK1-2526-SM-5S2N7,GTEX-POMQ-1226-SM-3P61F,0.8593
GTEX-RWS6-1326-SM-47JXB,GTEX-ZYVF-0526-SM-5E43E,0.8594
GTEX-RU72-2626-SM-4TT75,GTEX-R55G-1626-SM-48FF4,0.8596
GTEX-N7MT-0726-SM-3TW8S,GTEX-POMQ-1226-SM-3P61F,0.8596
GTEX-Y114-1826-SM-4TT87,GTEX-TSE9-2626-SM-4DXV2,0.8597
GTEX-N7MT-0726-SM-3TW8S,GTEX-WEY5-0726-SM-4LMID,0.8599
GTEX-XUJ4-1526-SM-4BONU,GTEX-132AR-1526-SM-5KM1L,0.8599
GTEX-RTLS-2426-SM-46MUO,GTEX-131XG-2026-SM-5GCN5,0.8599
GTEX-UPIC-1526-SM-4IHLU,GTEX-132AR-1526-SM-5KM1L,0.86
GTEX-RU72-2626-SM-4TT75,GTEX-WI4N-2426-SM-4OOSC,0.86
GTEX-ZP4G-0726-SM-4WWF2,GTEX-ZAK1-2526-SM-5S2N7,0.8601
GTEX-N7MT-0726-SM-3TW8S,GTEX-P4PP-2026-SM-3P61N,0.8602
GTEX-N7MT-0726-SM-3TW8S,GTEX-TMMY-2226-SM-4DXTN,0.8602
GTEX-RTLS-2426-SM-46MUO,GTEX-13W3W-1426-SM-5LU56,0.8603
GTEX-13U4I-1926-SM-5LU39,GTEX-13W3W-1426-SM-5LU56,0.8604
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-1117F-2426-SM-5EGGH,0.8604
GTEX-132AR-1526-SM-5KM1L,GTEX-S4UY-1226-SM-4AD51,0.8606
GTEX-P4PP-2026-SM-3P61N,GTEX-1117F-2426-SM-5EGGH,0.8606
GTEX-12WSD-2826-SM-59HKT,GTEX-PWOO-1526-SM-48TCK,0.8608
GTEX-P4PP-2026-SM-3P61N,GTEX-RU1J-1026-SM-46MUR,0.8609
GTEX-RTLS-2426-SM-46MUO,GTEX-POMQ-1226-SM-3P61F,0.8609
GTEX-RWS6-1326-SM-47JXB,GTEX-11P81-1626-SM-5BC52,0.861
GTEX-13W3W-1426-SM-5LU56,GTEX-1313W-2826-SM-5P9G1,0.861
GTEX-WWYW-2826-SM-4MVOQ,GTEX-T5JW-1526-SM-4DM5E,0.8612
GTEX-132AR-1526-SM-5KM1L,GTEX-YJ8O-1126-SM-5P9IS,0.8613
GTEX-132AR-1526-SM-5KM1L,GTEX-12WSD-2826-SM-59HKT,0.8614
GTEX-RWS6-1326-SM-47JXB,GTEX-RTLS-2426-SM-46MUO,0.8615
GTEX-11EM3-1926-SM-5987U,GTEX-QCQG-1326-SM-48U24,0.8618
GTEX-P4QT-2026-SM-3NMCJ,GTEX-132AR-1526-SM-5KM1L,0.8619
GTEX-132AR-1526-SM-5KM1L,GTEX-11ZTS-2326-SM-5EQMY,0.8619
GTEX-132AR-1526-SM-5KM1L,GTEX-11DXX-1526-SM-5H115,0.8619
GTEX-13VXT-1626-SM-5IJES,GTEX-WI4N-2426-SM-4OOSC,0.8622
